"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.65,90,18,7.16487317827205,-30.5969836845722
25.65,90,20,6.5424616125103,-30.6103553769904
25.65,90,22,6.06045547108794,-31.5232596615816
25.65,90,24,5.87246977556322,-33.931853095326
25.65,90,26,6.0370380493933,-39.2738380644031
25.65,90,28,6.46812079318427,-46.102492556285
25.65,90,30,7.00303634498952,-37.3052367551227
25.65,90,32,7.49550143822532,-33.2065789308629
25.65,90,34,7.84985790635978,-31.707094331834
25.65,90,36,8.01215689931983,-31.9991801404573
25.65,90,38,7.95299270285924,-34.0757178095078
25.65,90,40,7.65582120830105,-38.7008392709903
25.65,90,42,7.11202444433879,-49.1532244406161
25.65,90,44,6.32180875783524,-44.9376244720325
25.65,90,46,5.30203951549,-40.1764575691118
25.65,90,48,4.10582577100047,-39.2010676977409
25.65,90,50,2.85972235447697,-39.3746263681619
25.65,90,52,1.80158704038547,-38.0542419981399
25.65,90,54,1.22582830815472,-35.3706919888087
25.65,90,56,1.2586833849344,-33.1619994404383
25.65,90,58,1.72667815683643,-31.8933303672799
25.65,90,60,2.34605117968265,-31.474711145219
25.65,90,62,2.91976139302952,-31.7201184874463
25.65,90,64,3.36018475448318,-32.3861057067388
25.65,90,66,3.64487922617493,-33.1488488442017
25.65,90,68,3.77997620206777,-33.6834715528608
25.65,90,70,3.77963497256361,-33.8720008227018
25.65,90,72,3.65542050436075,-33.8572426186584
25.65,90,74,3.41131026677257,-33.8455844602021
25.65,90,76,3.04225039471002,-33.9628122780819
25.65,90,78,2.53486579099231,-34.2544218655513
25.65,90,80,1.86903591865963,-34.7239497575178
25.65,90,82,1.01933009197453,-35.3524175808728
25.65,90,84,-0.04408921301768,-36.0981511924856
25.65,90,86,-1.35446975540333,-36.8955555288045
25.65,90,88,-2.94441479299774,-37.6745052262274
25.65,90,90,-4.82848000433902,-38.3991174524506
25.65,90,92,-6.93986032806609,-39.0724839454894
25.65,90,94,-8.95527908617629,-39.6424614637273
25.65,90,96,-10.1367904051792,-39.8566026837685
25.65,90,98,-10.0101458729378,-39.3744161826591
25.65,90,100,-9.16547865131467,-38.2827895585496
25.65,90,102,-8.3510393893978,-37.1310885223057
25.65,90,104,-7.88915585787866,-36.4339898741275
25.65,90,106,-7.84818490044917,-36.5426548113081
25.65,90,108,-8.1807417097929,-37.8227446247145
25.65,90,110,-8.74373943892744,-41.0192355584531
25.65,90,112,-9.30843095942296,-48.787309997157
25.65,90,114,-9.68916956524343,-48.8369687219941
25.65,90,116,-9.95143489254692,-40.8422537045884
25.65,90,118,-10.406545934091,-37.5701628309578
25.65,90,120,-11.4182288893718,-36.3228179221967
25.65,90,122,-13.3118686001528,-36.123388669785
25.65,90,124,-16.3462475492148,-35.8933384999345
25.65,90,126,-19.8981710213274,-34.7487867679798
25.65,90,128,-19.7373371321826,-33.2348144813055
25.65,90,130,-16.4016930564818,-32.302075386465
25.65,90,132,-13.2329385411684,-32.4227585480298
25.65,90,134,-10.4914085082903,-33.8874610852645
25.65,90,136,-8.21516263022491,-37.1255389559143
25.65,90,138,-6.54427277327059,-42.2919233873341
25.65,90,140,-5.58176567007917,-42.501233340338
25.65,90,142,-5.37048156771563,-38.946225121942
25.65,90,144,-5.88707545120795,-37.5209411303487
25.65,90,146,-6.93660069733757,-37.8908173991816
25.65,90,148,-7.87122177663762,-39.471997592279
25.65,90,150,-7.72930854394608,-41.3159404550054
25.65,90,152,-6.59795558919616,-42.2035451020115
25.65,90,154,-5.4015083682022,-41.8299909603459
25.65,90,156,-4.63742573271521,-40.1255708329159
25.65,90,158,-4.40854819393337,-37.5730053239979
25.65,90,160,-4.70671004097746,-35.3465349376784
25.65,90,162,-5.53890833507453,-34.0684507910845
